t_s,h_g1,h_g2,h_g3,h_g4,h_g5,vmax_g1,vmax_g2,vmax_g3,vmax_g4,vmax_g5
0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0
300.0,0.0001,0.0003,0.0002,0.0003,0.0837,0.0,0.0,0.0,0.0,0.403
600.0,0.0039,0.0024,0.0002,0.0032,0.1109,0.0,0.0,0.0,0.0,0.403
900.1,0.0049,0.0037,0.0003,0.0109,0.1354,0.0,0.0,0.0,0.063,0.403
1200.0,0.007,0.0068,0.0025,0.0619,0.1491,0.0,0.0,0.0,0.114,0.403
1500.1,0.0096,0.0199,0.0033,0.0686,0.2404,0.0,0.489,0.0,0.561,1.325
1800.0,0.0159,0.0889,0.0061,0.0569,0.3519,0.654,0.87,0.0,1.104,1.782
2100.0,0.0512,0.0541,0.0061,0.1043,0.3595,1.153,1.291,0.0,1.614,2.202
2400.0,0.0819,0.0755,0.004,0.1151,0.4417,2.539,1.291,0.0,1.647,2.555
2700.0,0.0224,0.0518,0.003,0.0817,0.2178,2.539,1.291,0.0,1.692,2.603
3000.0,0.0109,0.0763,0.0022,0.0918,0.2531,2.539,1.291,0.0,1.959,3.031
3300.0,0.0098,0.0626,0.002,0.0646,0.321,2.539,1.291,0.0,2.076,3.031
3600.0,0.0071,0.0673,0.0018,0.1119,0.2688,2.539,1.291,0.0,2.076,3.031
3900.0,0.0027,0.0297,0.0002,0.0829,0.1492,2.539,1.291,0.0,2.076,3.031
4200.0,0.0016,0.0234,0.0001,0.0605,0.1961,2.539,1.291,0.0,2.076,3.031
4500.0,0.0011,0.025,0.0,0.0688,0.1829,2.539,1.291,0.0,2.076,3.031
4800.0,0.0007,0.0222,0.0,0.0637,0.1629,2.539,1.291,0.0,2.076,3.031
5100.0,0.0005,0.0183,0.0,0.0608,0.1585,2.539,1.291,0.0,2.076,3.031
