t_s,h_g1,h_g2,h_g3,h_g4,h_g5,vmax_g1,vmax_g2,vmax_g3,vmax_g4,vmax_g5
0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0
300.1,0.0001,0.0001,0.0001,0.0002,0.0413,0.0,0.0,0.0,0.0,0.398
600.1,0.0083,0.0067,0.0005,0.0087,0.1323,0.0,0.0,0.0,0.0,0.398
900.1,0.0112,0.0106,0.0039,0.0708,0.2211,0.534,0.143,0.0,0.459,1.327
1200.1,0.0117,0.0137,0.0039,0.1089,0.3033,0.547,0.834,0.0,1.182,1.375
1500.1,0.0071,0.0543,0.0014,0.0735,0.2221,0.548,0.834,0.0,1.294,1.435
1800.1,0.004,0.0529,0.0012,0.089,0.1896,0.548,0.834,0.0,1.294,1.435
2100.0,0.0021,0.0377,0.0002,0.0719,0.1708,0.548,0.834,0.0,1.294,1.435
2400.1,0.0014,0.0247,0.0,0.0595,0.149,0.548,0.834,0.0,1.294,1.435
2700.0,0.001,0.0185,0.0,0.0584,0.1394,0.548,0.834,0.0,1.294,1.435
3000.0,0.0007,0.0145,0.0,0.0568,0.1347,0.548,0.834,0.0,1.294,1.435
3300.1,0.0005,0.0122,0.0,0.0547,0.132,0.548,0.834,0.0,1.294,1.435
