t_s,h_g1,h_g2,h_g3,h_g4,h_g5,vmax_g1,vmax_g2,vmax_g3,vmax_g4,vmax_g5
0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0
300.0,0.0001,0.0003,0.0002,0.0003,0.0837,0.0,0.0,0.0,0.0,0.403
600.0,0.0039,0.0024,0.0002,0.0032,0.1109,0.0,0.0,0.0,0.0,0.403
900.1,0.0049,0.0037,0.0003,0.0109,0.1354,0.0,0.0,0.0,0.063,0.403
1200.0,0.007,0.0068,0.0025,0.0627,0.1489,0.0,0.0,0.0,0.107,0.403
1500.1,0.0096,0.0219,0.0033,0.0629,0.2274,0.0,0.856,0.0,0.427,1.208
1800.1,0.0159,0.0175,0.0061,0.0441,0.2153,0.654,0.941,0.0,1.003,1.745
2100.0,0.0181,0.1189,0.0061,0.0643,0.3771,1.008,1.069,0.0,1.571,2.152
2400.0,0.0206,0.0641,0.004,0.0855,0.4003,1.791,1.069,0.0,1.97,2.222
2700.0,0.014,0.0651,0.003,0.0976,0.2243,1.854,1.069,0.0,2.285,2.222
3000.0,0.0104,0.08,0.0022,0.086,0.2654,1.854,1.069,0.0,2.285,2.275
3300.0,0.0061,0.0734,0.002,0.0715,0.2622,1.854,1.069,0.0,2.285,2.275
3600.0,0.0053,0.0167,0.0018,0.0696,0.2583,1.854,1.069,0.0,2.285,2.275
3900.0,0.0025,0.0646,0.0002,0.0705,0.1859,1.854,1.069,0.0,2.285,2.275
4200.0,0.0016,0.024,0.0001,0.0599,0.1645,1.854,1.069,0.0,2.285,2.275
4500.0,0.0011,0.0214,0.0,0.0568,0.151,1.854,1.069,0.0,2.285,2.275
4800.0,0.0007,0.0168,0.0,0.0583,0.1419,1.854,1.069,0.0,2.285,2.275
5100.0,0.0005,0.0136,0.0,0.0561,0.1376,1.854,1.069,0.0,2.285,2.275
