t_s,h_g1,h_g2,h_g3,h_g4,h_g5,vmax_g1,vmax_g2,vmax_g3,vmax_g4,vmax_g5
0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0
300.1,0.0001,0.0001,0.0001,0.0002,0.0413,0.0,0.0,0.0,0.0,0.398
600.1,0.0083,0.0067,0.0005,0.0087,0.1323,0.0,0.0,0.0,0.0,0.398
900.1,0.0112,0.0106,0.0039,0.0708,0.2398,0.534,0.143,0.0,0.459,1.197
1200.0,0.0117,0.0006,0.0039,0.047,0.2429,0.547,0.871,0.0,1.01,1.398
1500.0,0.0071,0.0112,0.0014,0.0676,0.336,0.548,0.941,0.0,1.401,1.544
1800.0,0.004,0.0462,0.0012,0.0845,0.1939,0.548,0.941,0.0,1.401,1.544
2100.0,0.0021,0.0092,0.0002,0.0632,0.1576,0.548,0.941,0.0,1.401,1.544
2400.0,0.0014,0.0207,0.0001,0.0593,0.1441,0.548,0.941,0.0,1.401,1.544
2700.0,0.001,0.0172,0.0,0.058,0.139,0.548,0.941,0.0,1.401,1.544
3000.0,0.0007,0.0134,0.0,0.056,0.1341,0.548,0.941,0.0,1.401,1.544
3300.0,0.0005,0.0115,0.0,0.0539,0.1316,0.548,0.941,0.0,1.401,1.544
