t_s,h_g1,h_g2,h_g3,h_g4,h_g5,vmax_g1,vmax_g2,vmax_g3,vmax_g4,vmax_g5
0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0
300.0,0.0001,0.0,0.0001,0.0001,0.011,0.0,0.0,0.0,0.0,0.448
600.1,0.0001,0.0001,0.0001,0.0002,0.0729,0.0,0.0,0.0,0.0,0.448
900.1,0.0011,0.0002,0.0001,0.0003,0.1055,0.0,0.0,0.0,0.0,0.448
1200.0,0.003,0.001,0.0002,0.0041,0.1094,0.0,0.0,0.0,0.0,0.448
1500.0,0.0051,0.004,0.0003,0.0128,0.1369,0.0,0.0,0.0,0.067,0.448
1800.1,0.0104,0.0093,0.0027,0.0626,0.168,0.509,0.0,0.0,0.496,1.12
2100.0,0.0109,0.0169,0.0027,0.086,0.2722,0.526,0.805,0.0,0.957,1.655
2400.0,0.0076,0.0001,0.0017,0.0751,0.2022,0.526,0.805,0.0,0.957,1.655
2700.0,0.0056,0.0013,0.0012,0.0736,0.2004,0.526,0.805,0.0,0.965,1.655
3000.0,0.0041,0.0554,0.0008,0.067,0.1805,0.526,0.805,0.0,0.965,1.655
3300.0,0.0032,0.0173,0.0007,0.0654,0.17,0.526,0.805,0.0,0.965,1.655
3600.0,0.0027,0.021,0.0006,0.0578,0.1572,0.526,0.805,0.0,0.965,1.655
3900.0,0.0018,0.0192,0.0001,0.0608,0.1483,0.526,0.805,0.0,0.965,1.655
4200.0,0.0013,0.0164,0.0,0.0584,0.1422,0.526,0.805,0.0,0.965,1.655
4500.0,0.0009,0.0136,0.0,0.057,0.1386,0.526,0.805,0.0,0.965,1.655
4800.0,0.0007,0.012,0.0,0.0556,0.135,0.526,0.805,0.0,0.965,1.655
5100.1,0.0005,0.0109,0.0,0.0541,0.1331,0.526,0.805,0.0,0.965,1.655
