t_s,h_g1,h_g2,h_g3,h_g4,h_g5,vmax_g1,vmax_g2,vmax_g3,vmax_g4,vmax_g5
0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0
300.1,0.0001,0.0001,0.0001,0.0002,0.0413,0.0,0.0,0.0,0.0,0.44
600.0,0.0083,0.0067,0.0005,0.0086,0.1323,0.0,0.0,0.0,0.0,0.44
900.0,0.0116,0.0106,0.003,0.0683,0.216,0.545,0.143,0.0,0.448,1.246
1200.1,0.0121,0.003,0.003,0.0828,0.1905,0.566,0.799,0.0,0.808,1.246
1500.1,0.0077,0.006,0.001,0.0759,0.2395,0.654,0.865,0.0,1.345,1.246
1800.1,0.0043,0.0903,0.0008,0.0578,0.1947,0.654,0.865,0.0,1.345,1.542
2100.0,0.0023,0.0219,0.0001,0.06,0.1641,0.654,0.865,0.0,1.345,1.542
2400.0,0.0015,0.026,0.0,0.0604,0.1475,0.654,0.865,0.0,1.345,1.542
2700.0,0.0011,0.0178,0.0,0.0583,0.1395,0.654,0.865,0.0,1.345,1.542
3000.1,0.0008,0.014,0.0,0.0569,0.1348,0.654,0.865,0.0,1.345,1.542
3300.0,0.0005,0.0119,0.0,0.055,0.1321,0.654,0.865,0.0,1.345,1.542
