t_s,h_g1,h_g2,h_g3,h_g4,h_g5,vmax_g1,vmax_g2,vmax_g3,vmax_g4,vmax_g5
0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0
300.1,0.0001,0.0001,0.0001,0.0002,0.0413,0.0,0.0,0.0,0.0,0.44
600.0,0.0083,0.0067,0.0005,0.0086,0.1323,0.0,0.0,0.0,0.0,0.44
900.1,0.0116,0.0106,0.003,0.0664,0.195,0.545,0.143,0.0,0.405,1.261
1200.0,0.0122,0.0007,0.003,0.0822,0.3075,0.584,0.851,0.0,0.993,1.611
1500.0,0.008,0.0065,0.001,0.0823,0.2889,0.736,0.921,0.0,1.044,1.611
1800.1,0.0043,0.0375,0.0008,0.0692,0.1931,0.736,0.921,0.0,1.044,1.611
2100.0,0.0023,0.0285,0.0001,0.0542,0.1558,0.736,0.921,0.0,1.044,1.611
2400.0,0.0015,0.0211,0.0,0.0573,0.1477,0.736,0.921,0.0,1.044,1.611
2700.0,0.0011,0.0166,0.0,0.0577,0.1374,0.736,0.921,0.0,1.044,1.611
3000.0,0.0008,0.0132,0.0,0.0555,0.1335,0.736,0.921,0.0,1.044,1.611
3300.1,0.0005,0.0113,0.0,0.0533,0.1313,0.736,0.921,0.0,1.044,1.611
