t_s,h_g1,h_g2,h_g3,h_g4,h_g5,vmax_g1,vmax_g2,vmax_g3,vmax_g4,vmax_g5
0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0
300.1,0.0,0.0,0.0,0.0002,0.0046,0.0,0.0,0.0,0.0,0.0
600.0,0.0,0.0,0.0,0.0002,0.0631,0.0,0.0,0.0,0.0,0.058
900.0,0.0,0.0,0.0001,0.0004,0.1028,0.0,0.0,0.0,0.0,0.168
1200.1,0.0008,0.0,0.0002,0.0053,0.1066,0.0,0.0,0.0,0.0,0.561
1500.0,0.0034,0.0006,0.0003,0.014,0.1331,0.0,0.0,0.0,0.007,1.702
1800.0,0.01,0.0061,0.006,0.0686,0.1647,0.438,0.0,0.0,1.266,1.702
2100.0,0.0124,0.0082,0.0065,0.0773,0.237,0.481,0.0,0.0,1.266,1.702
2400.0,0.0081,0.0237,0.0036,0.0811,0.2369,0.481,0.393,0.0,1.266,1.702
2700.0,0.0054,0.0262,0.0021,0.0796,0.2193,0.481,0.393,0.0,1.266,1.702
3000.0,0.0036,0.0243,0.0012,0.0774,0.2018,0.481,0.393,0.0,1.266,1.702
3300.0,0.0026,0.0263,0.0009,0.075,0.191,0.481,0.393,0.0,1.266,1.702
3600.0,0.0022,0.0319,0.0008,0.073,0.1826,0.481,0.393,0.0,1.266,1.702
3900.0,0.0014,0.0303,0.0,0.0697,0.1725,0.481,0.393,0.0,1.266,1.702
4200.0,0.0008,0.0259,0.0,0.0668,0.1629,0.481,0.393,0.0,1.266,1.702
4500.0,0.0005,0.0208,0.0,0.0648,0.1532,0.481,0.393,0.0,1.266,1.702
4800.0,0.0003,0.0162,0.0,0.0628,0.1455,0.481,0.397,0.0,1.266,1.702
5100.0,0.0002,0.0126,0.0,0.061,0.1404,0.481,0.397,0.0,1.266,1.702
