t_s,h_g1,h_g2,h_g3,h_g4,h_g5,vmax_g1,vmax_g2,vmax_g3,vmax_g4,vmax_g5
0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0
300.1,0.0,0.0,0.0,0.0002,0.0305,0.0,0.0,0.0,0.0,0.059
600.0,0.0005,0.0011,0.0007,0.0096,0.1239,0.0,0.0,0.0,0.0,2.008
900.0,0.0115,0.0069,0.0072,0.0656,0.172,0.465,0.0,0.0,1.432,2.081
1200.0,0.0145,0.0094,0.0073,0.08,0.2511,0.522,0.0,0.0,1.432,2.081
1500.0,0.0091,0.0271,0.0023,0.0843,0.2559,0.534,0.396,0.0,1.432,2.081
1800.0,0.0046,0.0287,0.0011,0.082,0.2245,0.534,0.417,0.0,1.432,2.081
2100.0,0.0021,0.0298,0.0,0.0776,0.1979,0.534,0.417,0.0,1.432,2.081
2400.0,0.0011,0.0377,0.0,0.0733,0.1781,0.534,0.417,0.0,1.432,2.081
2700.0,0.0007,0.0341,0.0,0.0692,0.1631,0.534,0.417,0.0,1.432,2.081
3000.0,0.0004,0.0271,0.0,0.0658,0.1516,0.534,0.417,0.0,1.432,2.081
3300.0,0.0002,0.0202,0.0,0.0632,0.144,0.534,0.417,0.0,1.432,2.081
