t_s,h_g1,h_g2,h_g3,h_g4,h_g5,vmax_g1,vmax_g2,vmax_g3,vmax_g4,vmax_g5
0.0,0.0,0.0,0.0,0.0,0.0013,0.0,0.0,0.0,0.0,0.0
300.1,0.0001,0.0,0.0002,0.0003,0.0754,0.0,0.0,0.0,0.0,0.136
600.1,0.0001,0.0,0.0002,0.0043,0.1072,0.0,0.0,0.0,0.0,0.516
900.0,0.003,0.0004,0.0003,0.0121,0.1289,0.0,0.0,0.0,0.007,1.798
1200.0,0.0059,0.0033,0.0004,0.0417,0.1495,0.0,0.0,0.0,1.054,1.798
1500.0,0.0106,0.0065,0.0007,0.0726,0.1659,0.449,0.0,0.0,1.106,1.798
1800.0,0.0239,0.0296,0.0084,0.0861,0.2591,0.59,0.415,0.0,1.106,1.798
2100.0,0.0282,0.041,0.0084,0.0946,0.3041,0.624,0.549,0.0,1.106,1.798
2400.0,0.0206,0.0919,0.0051,0.0949,0.2955,0.625,0.55,0.0,1.106,1.798
2700.0,0.0192,0.0991,0.0035,0.0918,0.2856,0.625,0.55,0.0,1.106,1.798
3000.0,0.0172,0.0934,0.0023,0.0892,0.2697,0.625,0.55,0.0,1.106,1.798
3300.0,0.0126,0.0859,0.002,0.0863,0.2517,0.625,0.55,0.0,1.106,1.798
3600.0,0.0093,0.078,0.0018,0.0836,0.2565,0.625,0.55,0.0,1.106,1.798
3900.0,0.0052,0.0684,0.0002,0.082,0.2402,0.625,0.55,0.0,1.106,1.798
4200.0,0.0027,0.0617,0.0,0.0791,0.2204,0.625,0.55,0.0,1.106,1.798
4500.0,0.0015,0.0539,0.0,0.076,0.2023,0.625,0.55,0.0,1.106,1.798
4800.0,0.0008,0.0453,0.0,0.0734,0.1882,0.625,0.55,0.0,1.106,1.798
5100.0,0.0005,0.0371,0.0,0.0707,0.1766,0.625,0.55,0.0,1.106,1.798
