t_s,h_g1,h_g2,h_g3,h_g4,h_g5,vmax_g1,vmax_g2,vmax_g3,vmax_g4,vmax_g5
0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0
300.1,0.0,0.0,0.0,0.0002,0.0305,0.0,0.0,0.0,0.0,0.058
600.0,0.0005,0.0011,0.0007,0.0096,0.1239,0.0,0.0,0.0,0.0,2.007
900.0,0.0116,0.0069,0.0008,0.0656,0.1707,0.467,0.0,0.0,1.432,2.082
1200.0,0.0152,0.0094,0.0055,0.0799,0.2304,0.538,0.0,0.0,1.432,2.082
1500.0,0.0104,0.0265,0.0017,0.082,0.2326,0.543,0.394,0.0,1.432,2.082
1800.0,0.0053,0.0268,0.0009,0.0789,0.2202,0.543,0.399,0.0,1.432,2.082
2100.0,0.0024,0.0246,0.0,0.0753,0.1945,0.543,0.399,0.0,1.432,2.082
2400.0,0.0013,0.0291,0.0,0.0722,0.1752,0.543,0.399,0.0,1.432,2.082
2700.0,0.0008,0.0281,0.0,0.0683,0.1615,0.543,0.399,0.0,1.432,2.082
3000.0,0.0005,0.0233,0.0,0.0653,0.1507,0.543,0.399,0.0,1.432,2.082
3300.0,0.0003,0.0179,0.0,0.0628,0.1435,0.543,0.399,0.0,1.432,2.082
