t_s,h_g1,h_g2,h_g3,h_g4,h_g5,vmax_g1,vmax_g2,vmax_g3,vmax_g4,vmax_g5
0.0,0.0,0.0,0.0,0.0,0.0013,0.0,0.0,0.0,0.0,0.0
300.0,0.0001,0.0006,0.0003,0.0003,0.0807,0.0,0.0,0.0,0.0,0.213
600.0,0.0038,0.0023,0.0003,0.0043,0.1095,0.0,0.0,0.0,0.0,0.862
900.0,0.0054,0.0034,0.0004,0.0121,0.1416,0.0,0.0,0.0,0.007,2.08
1200.0,0.008,0.0064,0.0046,0.0487,0.1555,0.0,0.0,0.0,1.342,2.08
1500.0,0.0125,0.0091,0.0064,0.0752,0.2088,0.483,0.0,0.0,1.342,2.08
1800.0,0.0236,0.0316,0.0112,0.0889,0.291,0.587,0.438,0.698,1.342,2.08
2100.0,0.0263,0.0561,0.0124,0.0986,0.3191,0.609,0.551,0.813,1.342,2.08
2400.0,0.0222,0.1057,0.0079,0.0979,0.311,0.61,0.551,0.813,1.342,2.08
2700.0,0.0183,0.1075,0.0057,0.0945,0.2939,0.61,0.551,0.813,1.342,2.08
3000.0,0.0148,0.1002,0.0041,0.0918,0.2966,0.61,0.551,0.813,1.342,2.08
3300.0,0.0129,0.0944,0.0036,0.0894,0.2812,0.61,0.551,0.813,1.342,2.08
3600.0,0.0109,0.0887,0.0032,0.087,0.2689,0.61,0.551,0.813,1.342,2.08
3900.0,0.0067,0.0794,0.0007,0.0838,0.2495,0.61,0.551,0.813,1.342,2.08
4200.0,0.0043,0.0699,0.0001,0.0806,0.2243,0.61,0.551,0.813,1.342,2.08
4500.0,0.0025,0.0602,0.0,0.0768,0.204,0.61,0.551,0.813,1.342,2.08
4800.0,0.0014,0.0503,0.0,0.0738,0.1895,0.61,0.551,0.813,1.342,2.08
5100.0,0.0008,0.041,0.0,0.071,0.1778,0.61,0.551,0.813,1.342,2.08
