t_s,h_g1,h_g2,h_g3,h_g4,h_g5,vmax_g1,vmax_g2,vmax_g3,vmax_g4,vmax_g5
0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0
300.0,0.0001,0.0002,0.0002,0.0002,0.0371,0.0,0.0,0.0,0.0,0.072
600.0,0.0071,0.0065,0.0008,0.0096,0.1302,0.0,0.0,0.0,0.0,2.194
900.0,0.0149,0.0102,0.0078,0.0688,0.1793,0.529,0.226,0.0,1.476,2.194
1200.0,0.0165,0.016,0.0078,0.0813,0.2603,0.543,0.359,0.0,1.476,2.194
1500.0,0.0101,0.03,0.0026,0.0854,0.2628,0.545,0.425,0.0,1.476,2.194
1800.0,0.0054,0.0318,0.002,0.0835,0.2325,0.545,0.438,0.0,1.476,2.194
2100.0,0.0027,0.0505,0.0005,0.0786,0.203,0.545,0.438,0.0,1.476,2.194
2400.0,0.0016,0.0502,0.0,0.0742,0.1829,0.545,0.438,0.0,1.476,2.194
2700.0,0.001,0.0418,0.0,0.0702,0.1678,0.545,0.438,0.0,1.476,2.194
3000.0,0.0007,0.0328,0.0,0.0666,0.1565,0.545,0.438,0.0,1.476,2.194
3300.0,0.0005,0.0247,0.0,0.0641,0.1479,0.545,0.438,0.0,1.476,2.194
