t_s,h_g1,h_g2,h_g3,h_g4,h_g5,vmax_g1,vmax_g2,vmax_g3,vmax_g4,vmax_g5
0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0
300.0,0.0,0.0,0.0001,0.0002,0.0084,0.0,0.0,0.0,0.0,0.0
600.1,0.0,0.0001,0.0002,0.0002,0.0707,0.0,0.0,0.0,0.0,0.101
900.1,0.0008,0.0003,0.0002,0.0004,0.1038,0.0,0.0,0.0,0.0,0.281
1200.0,0.0029,0.0014,0.0003,0.0053,0.1104,0.0,0.0,0.0,0.0,0.805
1500.1,0.0056,0.0036,0.0004,0.014,0.1432,0.0,0.0,0.0,0.007,1.834
1800.0,0.0133,0.0089,0.0051,0.0702,0.1706,0.499,0.0,0.0,1.318,1.834
2100.0,0.0152,0.0115,0.0052,0.0786,0.229,0.537,0.295,0.0,1.318,1.834
2400.0,0.0104,0.0253,0.003,0.0809,0.2245,0.537,0.391,0.0,1.318,1.834
2700.0,0.0071,0.0262,0.002,0.0786,0.221,0.537,0.391,0.0,1.318,1.834
3000.0,0.0051,0.0273,0.0013,0.0766,0.2063,0.537,0.391,0.0,1.318,1.834
3300.0,0.0038,0.0371,0.0011,0.0753,0.194,0.537,0.391,0.0,1.318,1.834
3600.0,0.003,0.0388,0.0009,0.0734,0.1846,0.537,0.391,0.0,1.318,1.834
3900.0,0.0021,0.035,0.0002,0.0702,0.1739,0.537,0.391,0.0,1.318,1.834
4200.0,0.0013,0.0295,0.0,0.0671,0.1646,0.537,0.391,0.0,1.318,1.834
4500.0,0.0009,0.0235,0.0,0.065,0.156,0.537,0.391,0.0,1.318,1.834
4800.0,0.0007,0.0183,0.0,0.0631,0.1484,0.537,0.391,0.0,1.318,1.834
5100.0,0.0005,0.0142,0.0,0.0613,0.143,0.537,0.391,0.0,1.318,1.834
