t_s,h_g1,h_g2,h_g3,h_g4,h_g5,vmax_g1,vmax_g2,vmax_g3,vmax_g4,vmax_g5
0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0
300.1,0.0001,0.0002,0.0002,0.0002,0.0372,0.0,0.0,0.0,0.0,0.072
600.0,0.0071,0.0065,0.0008,0.0096,0.1302,0.0,0.0,0.0,0.0,2.195
900.0,0.0156,0.0102,0.0059,0.0689,0.1785,0.539,0.226,0.0,1.476,2.195
1200.0,0.0175,0.016,0.0059,0.0812,0.241,0.547,0.359,0.0,1.476,2.195
1500.0,0.0121,0.0292,0.002,0.0834,0.2517,0.551,0.415,0.0,1.476,2.195
1800.0,0.0063,0.0292,0.0013,0.0811,0.2286,0.551,0.421,0.0,1.476,2.195
2100.0,0.003,0.043,0.0003,0.0773,0.1999,0.551,0.421,0.0,1.476,2.195
2400.0,0.0018,0.0448,0.0,0.0736,0.1808,0.551,0.421,0.0,1.476,2.195
2700.0,0.0012,0.0384,0.0,0.0696,0.167,0.551,0.421,0.0,1.476,2.195
3000.0,0.0008,0.0303,0.0,0.0662,0.1564,0.551,0.421,0.0,1.476,2.195
3300.0,0.0006,0.0228,0.0,0.0639,0.1482,0.551,0.421,0.0,1.476,2.195
