t_s,h_P1,h_P2,h_P3,h_P4,h_P5,h_P6,h_P7,h_P8,h_P9,vmax_P1,vmax_P2,vmax_P3,vmax_P4,vmax_P5,vmax_P6,vmax_P7,vmax_P8,vmax_P9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.6,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.5,0.0759,0.0363,0.0159,0.0019,0.0056,0.0034,0.0014,0.0074,0.0139,0.142,0.098,0.115,0.0,0.0,0.0,0.0,0.0,0.147
180.0,0.1456,0.0783,0.0225,0.0026,0.0241,0.0082,0.0016,0.0283,0.05,0.142,0.239,0.129,0.0,0.268,0.0,0.0,0.478,0.186
240.0,0.2496,0.1147,0.0545,0.0143,0.1028,0.0157,0.0639,0.0591,0.1034,0.142,0.457,0.156,0.112,0.268,0.354,0.338,0.729,0.622
300.1,0.3888,0.1451,0.0765,0.024,0.1597,0.0123,0.1085,0.0799,0.1391,0.142,0.607,0.238,0.143,0.268,0.354,0.663,0.879,0.89
360.1,0.4741,0.1705,0.1237,0.0468,0.168,0.0081,0.09,0.0727,0.1459,0.142,0.757,0.256,0.319,0.268,0.354,0.703,0.879,0.964
420.3,0.5054,0.2027,0.184,0.0573,0.1684,0.005,0.0798,0.0609,0.1463,0.142,0.935,0.256,0.386,0.268,0.354,0.703,0.879,0.987
480.3,0.5263,0.1943,0.2314,0.0734,0.1663,0.0038,0.0724,0.0707,0.1438,0.142,0.937,0.256,0.474,0.268,1.233,0.703,0.879,0.987
540.1,0.5395,0.1839,0.2544,0.0722,0.1613,0.0324,0.0657,0.1024,0.1401,0.142,0.937,0.256,0.474,0.268,1.233,0.703,0.992,0.987
600.3,0.541,0.1708,0.2794,0.0655,0.161,0.0166,0.0587,0.0014,0.1471,0.142,0.937,0.256,0.474,0.268,1.233,0.703,1.328,0.987
660.5,0.5391,0.1616,0.2971,0.0638,0.173,0.0186,0.0498,0.021,0.1563,0.142,0.937,0.256,0.474,0.268,1.233,0.703,1.414,1.178
720.1,0.5359,0.1549,0.3067,0.1019,0.1703,0.0176,0.0409,0.0613,0.1398,0.142,0.937,0.256,0.7,0.268,1.233,0.703,1.419,1.178
780.2,0.5321,0.149,0.3216,0.0718,0.1699,0.0166,0.0327,0.0744,0.1274,0.142,0.937,0.256,0.7,0.268,1.233,0.703,1.419,1.178
840.2,0.528,0.1433,0.3327,0.05,0.1663,0.0148,0.0255,0.0751,0.1487,0.142,0.937,0.256,0.7,0.268,1.233,0.703,1.419,1.178
900.2,0.5239,0.1378,0.3533,0.0535,0.1614,0.0129,0.0192,0.0694,0.1395,0.142,0.937,0.256,0.7,0.268,1.233,0.703,1.419,1.178
960.2,0.5195,0.1327,0.3702,0.0574,0.1571,0.0112,0.0141,0.066,0.1397,0.142,0.937,0.256,0.7,0.268,1.233,0.703,1.419,1.178
1020.2,0.5155,0.128,0.3762,0.0582,0.1517,0.0096,0.0102,0.0635,0.1377,0.142,0.937,0.256,0.7,0.268,1.233,0.703,1.419,1.178
1080.2,0.5117,0.1238,0.3917,0.0537,0.1504,0.0082,0.0073,0.0592,0.1361,0.142,0.937,0.256,0.7,0.268,1.233,0.703,1.419,1.178
1140.2,0.5078,0.12,0.4053,0.0501,0.1473,0.0069,0.005,0.056,0.1341,0.142,0.937,0.256,0.7,0.268,1.233,0.703,1.419,1.178
1200.2,0.5041,0.1166,0.4107,0.0474,0.1448,0.0058,0.0034,0.0532,0.1319,0.142,0.937,0.256,0.7,0.268,1.233,0.703,1.419,1.178
1260.2,0.501,0.1134,0.4176,0.0453,0.1423,0.0048,0.0021,0.0505,0.1294,0.142,0.937,0.256,0.7,0.268,1.233,0.703,1.419,1.178
1320.2,0.4977,0.1105,0.4269,0.0437,0.1399,0.0039,0.0011,0.0481,0.1267,0.142,0.937,0.256,0.7,0.268,1.233,0.703,1.419,1.178
1380.2,0.495,0.1077,0.4315,0.0422,0.1377,0.0031,0.0004,0.046,0.1237,0.142,0.937,0.256,0.7,0.268,1.233,0.703,1.419,1.178
1440.2,0.4922,0.1052,0.4364,0.0407,0.1354,0.0024,0.0001,0.0441,0.1207,0.142,0.937,0.256,0.7,0.268,1.233,0.703,1.419,1.178
1500.2,0.4897,0.1028,0.4382,0.0392,0.1332,0.0019,0.0001,0.0423,0.1176,0.142,0.937,0.256,0.7,0.268,1.233,0.703,1.419,1.178
1560.2,0.4874,0.1006,0.4467,0.0376,0.131,0.0014,0.0001,0.0406,0.1145,0.142,0.937,0.256,0.7,0.268,1.233,0.703,1.419,1.178
1620.2,0.4849,0.0985,0.4461,0.0359,0.1288,0.001,0.0001,0.0388,0.1114,0.142,0.937,0.256,0.7,0.268,1.233,0.703,1.419,1.178
